,prob,predictions,labels
0,0.07175820623689563,0,0
1,0.997446991932891,1,1
2,0.1583463982055991,0,1
3,0.09083338627832244,0,0
4,0.9969602523357214,1,1
5,0.9956361586537797,1,1
6,0.03625771301427778,0,0
7,0.12251881823535829,0,0
8,0.16285896222711663,0,0
9,0.9966031457883601,1,1
10,0.05303222376699986,0,0
11,0.08458358609523098,0,0
12,0.9964432122294724,1,1
13,0.08381191502098775,0,0
14,0.10275242498176707,0,0
15,0.10579928381893339,0,0
16,0.9976833017012736,1,1
17,0.9968140623052639,1,1
18,0.9973952844842439,1,1
19,0.9973059947983124,1,1
20,0.9978977623205251,1,1
21,0.0663781829485709,0,0
22,0.06920892517022453,0,0
23,0.9978525362763222,1,1
24,0.9968144176333715,1,1
25,0.12418631396009218,0,1
26,0.062455892756459096,0,0
27,0.055192296771789,0,0
28,0.07861212404491585,0,0
29,0.996496478182403,1,1
30,0.9974728475914159,1,1
31,0.9974525660823421,1,1
32,0.9963174084561213,1,1
33,0.9958561240120752,1,1
34,0.10961397584797782,0,1
35,0.13470831869836047,0,0
36,0.9971345751574806,1,1
37,0.10585438850494458,0,1
38,0.05085797775484918,0,0
39,0.036010531077345635,0,1
40,0.9976281291779934,1,1
41,0.9976772503003947,1,1
42,0.03865782828743159,0,0
43,0.08824266023449698,0,0
44,0.06356053138013944,0,0
45,0.0709778338815716,0,1
46,0.9969077658557361,1,1
47,0.9971342194830851,1,1
48,0.09088828009247817,0,0
49,0.1038092810251763,0,0
50,0.14682750051283275,0,0
51,0.9978190644965594,1,1
52,0.04248920644359233,0,0
53,0.07099865152805147,0,0
54,0.996521337730702,1,1
55,0.9951312331722126,1,1
56,0.9956262324017611,1,1
57,0.9984772777869914,1,1
58,0.9977345643533478,1,1
59,0.9954993353111439,1,1
60,0.11280476253642996,0,0
61,0.051294637348691635,0,1
62,0.118442634761714,0,0
63,0.9979073775741716,1,1
64,0.14282067702473822,0,0
65,0.09136162080201217,0,0
66,0.9975187508628737,1,1
67,0.1664095284882214,0,0
68,0.03770290106508427,0,0
69,0.06723547930425734,0,0
70,0.13953856920738675,0,0
71,0.05792832032740146,0,0
72,0.11828527913686071,0,0
73,0.028461759928513016,0,0
74,0.06674974830971549,0,0
75,0.03315006423334011,0,0
76,0.9964464078372309,1,1
77,0.11144983194971529,0,0
78,0.9970960553360982,1,1
79,0.9978720029865631,1,1
80,0.9958670004334635,1,1
81,0.0954167733650101,0,0
82,0.996737904327024,1,1
83,0.9972139947155667,1,1
84,0.04699546316754377,0,0
85,0.9974871993364423,1,1
86,0.07046394129589756,0,0
87,0.9962756386092952,1,1
88,0.9984018158721213,1,1
89,0.11450211992523988,0,0
90,0.9978532483700133,1,1
91,0.9980435575333959,1,1
92,0.9965830181674147,1,1
93,0.9974624102150429,1,1
94,0.9968803992220242,1,1
95,0.16302912033581723,0,0
96,0.18546659480382738,0,0
97,0.9969882156448194,1,1
98,0.03800912820469524,0,0
99,0.04085057051289385,0,0
100,0.9970052786950931,1,1
101,0.1440636934489103,0,0
102,0.9957357868929947,1,1
103,0.9940623654180446,1,1
104,0.9973478510354897,1,1
105,0.9971780765785327,1,1
106,0.07140646516845438,0,1
107,0.9966664944218679,1,1
108,0.9974324041210842,1,1
109,0.9968032834606293,1,1
110,0.9981706290369905,1,1
111,0.08099781644039095,0,0
112,0.09915964132105869,0,0
113,0.9964413183947466,1,1
114,0.10794560210846357,0,0
115,0.9978247617661984,1,1
116,0.02377960763816641,0,0
117,0.9969831204173345,1,1
118,0.043034654513888826,0,0
119,0.06004484644857253,0,1
120,0.9969211536252452,1,1
121,0.9952824798139227,1,1
122,0.9963624953280322,1,1
123,0.10391070679241726,0,0
124,0.04144299569370074,0,0
125,0.997584469924001,1,1
126,0.9973686025143891,1,1
127,0.04304141655721224,0,0
128,0.09826222915046334,0,0
129,0.9960236746103626,1,1
130,0.9975806737392036,1,1
131,0.9966815332914013,1,1
132,0.1363733677482783,0,0
133,0.9953732970491632,1,1
134,0.13284654047319783,0,0
135,0.9978690353737122,1,1
136,0.06206080339491435,0,0
137,0.05567977553967303,0,0
138,0.9963829692616912,1,1
139,0.08516507451752937,0,1
140,0.997310381826735,1,1
141,0.02979054111155041,0,0
142,0.08409768866748701,0,0
143,0.9967586303507913,1,1
144,0.06448485418571377,0,0
145,0.12945398630996513,0,0
146,0.09641516487066401,0,0
147,0.9964159896582908,1,1
148,0.9965662064405767,1,1
149,0.9976919638794143,1,1
150,0.06870969091273198,0,0
151,0.997178669317944,1,1
152,0.15580420158932343,0,0
153,0.9968056523688195,1,1
154,0.9967846874832044,1,1
155,0.08894962103105265,0,0
156,0.9948818532132926,1,1
157,0.9974639522886065,1,1
158,0.9961080031835731,1,1
159,0.08639989191633665,0,0
160,0.15398177684595404,0,0
161,0.9963254549438171,1,1
162,0.9973728716187539,1,1
163,0.996309243264086,1,1
164,0.07459433393776163,0,0
165,0.9956446667498626,1,1
166,0.9966712311296063,1,1
167,0.1244383289087319,0,1
168,0.9981592269784322,1,1
169,0.04051371302449675,0,0
170,0.998640124072558,1,1
171,0.9956488028300275,1,1
172,0.16656520709637754,0,0
173,0.029092736776670333,0,0
174,0.10689955828953474,0,1
175,0.996056552765015,1,1
176,0.9980569757765628,1,1
177,0.030421130021038054,0,0
178,0.030122284158804,0,0
179,0.029692360399519557,0,0
180,0.9970042122749122,1,1
181,0.05779428612988533,0,0
182,0.11969990639378872,0,0
183,0.997560387715086,1,1
184,0.16232640752724753,0,0
185,0.048075678868509844,0,0
186,0.9975575406438653,1,1
187,0.9974390457698633,1,1
188,0.9978930139751613,1,1
189,0.9967445364777794,1,1
190,0.9958988040048165,1,1
191,0.9979131945409142,1,1
192,0.14208535308201403,0,0
193,0.9954315281860443,1,1
194,0.9972937823676408,1,1
